,n_estimates,max_d,min_samples_split,mins_samples_leaf,TN,FN,FP,TP,roc_auc
269,400,5,7,5,19131,1192,11246,2069,0.6321268238691177
270,400,6,2,1,19498,1204,10879,2057,0.6363276519843948
271,400,6,2,2,19553,1214,10824,2047,0.635699670168596
272,400,6,2,3,19593,1226,10784,2035,0.6345181366286734
273,400,6,2,4,19630,1223,10747,2038,0.6355871316277042
274,400,6,2,5,19584,1217,10793,2044,0.6357499430367014
275,400,6,3,1,19599,1220,10778,2041,0.6355368587595985
276,400,6,3,2,19525,1207,10852,2054,0.6363120855661981
277,400,6,3,3,19520,1207,10857,2054,0.6362297864583206
278,400,6,3,4,19636,1214,10741,2047,0.6370658353593652
279,400,6,3,5,19517,1213,10860,2048,0.635260443792122
280,400,6,4,1,19493,1196,10884,2065,0.6374719704784797
281,400,6,4,2,19506,1211,10871,2050,0.6353860401552818
282,400,6,4,3,19721,1226,10656,2035,0.6366249937903417
283,400,6,4,4,19487,1209,10890,2052,0.6353799579458372
284,400,6,4,5,19476,1211,10901,2050,0.6348922455080158
285,400,6,5,1,19466,1200,10911,2061,0.636414246494959
286,400,6,5,2,19494,1209,10883,2052,0.6354951766968661
287,400,6,5,3,19456,1206,10921,2055,0.6353296850777317
288,400,6,5,4,19366,1193,11011,2068,0.6358415547391228
289,400,6,5,5,19696,1217,10681,2044,0.6375934430531612
290,400,6,6,1,19315,1193,11062,2068,0.6350021038387706
291,400,6,6,2,19499,1212,10878,2049,0.6351174942040076
292,400,6,6,3,19339,1191,11038,2070,0.6357037939570741
293,400,6,6,4,19548,1202,10829,2059,0.6374572974636621
294,400,6,6,5,19456,1206,10921,2055,0.6353296850777317
295,400,6,7,1,19534,1212,10843,2049,0.6356935879591513
296,400,6,7,2,19406,1191,10971,2070,0.6368066020026348
297,400,6,7,3,19398,1199,10979,2062,0.635448305828068
298,400,6,7,4,19274,1184,11103,2077,0.6357071959563816
299,400,6,7,5,19387,1196,10990,2065,0.6357272293914731
300,400,7,2,1,19994,1247,10383,2014,0.6378986538753108
301,400,7,2,2,19641,1196,10736,2065,0.6399080240716588
302,400,7,2,3,19826,1208,10551,2053,0.6411131646601886
303,400,7,2,4,19726,1205,10651,2056,0.6399271641033712
304,400,7,2,5,19945,1235,10432,2026,0.6389320490210535
305,400,7,3,1,19911,1238,10466,2023,0.6379124334867494
306,400,7,3,2,19934,1227,10443,2034,0.6399776085856852
307,400,7,3,3,19815,1222,10562,2039,0.6387855258194233
308,400,7,3,4,19594,1185,10783,2076,0.6408210116603071
309,400,7,3,5,19859,1234,10518,2027,0.6376698315658028
310,400,7,4,1,20070,1254,10307,2007,0.638076309913334
311,400,7,4,2,19778,1222,10599,2039,0.6381765124211285
312,400,7,4,3,19780,1228,10597,2033,0.6372894688628077
313,400,7,4,4,19767,1216,10610,2045,0.6389154175852696
314,400,7,4,5,19881,1238,10496,2023,0.6374186388394834
315,400,7,5,1,20013,1235,10364,2026,0.6400513168881898
316,400,7,5,2,19820,1224,10557,2037,0.6385611705268103
317,400,7,5,3,19854,1231,10523,2030,0.6380475140586612
318,400,7,5,4,19851,1214,10526,2047,0.640604696998105
319,400,7,5,5,19860,1227,10517,2034,0.6387595817890956
